Date,tickerYF,Close
2019-12-13,BNTX,32.45
2019-12-16,BNTX,35.0
2019-12-17,BNTX,36.91
2019-12-18,BNTX,35.0
2019-12-19,BNTX,29.34
2019-12-20,BNTX,34.97
2019-12-23,BNTX,34.73
2019-12-24,BNTX,33.47
2019-12-26,BNTX,33.2
2019-12-27,BNTX,32.58
2019-12-30,BNTX,34.91
2019-12-31,BNTX,33.88
2020-01-02,BNTX,38.5
2020-01-03,BNTX,40.05
2020-01-06,BNTX,44.58
2020-01-07,BNTX,43.34
2020-01-08,BNTX,45.1
2020-01-09,BNTX,43.27
2020-01-10,BNTX,39.68
2020-01-13,BNTX,37.83
2020-01-14,BNTX,34.53
2020-01-15,BNTX,34.55
2020-01-16,BNTX,32.25
2020-01-17,BNTX,33.18
2020-01-21,BNTX,36.54
2020-01-22,BNTX,38.88
2020-01-23,BNTX,36.7
2020-01-24,BNTX,34.99
2020-01-27,BNTX,33.2
2020-01-28,BNTX,34.22
2020-01-29,BNTX,31.8
2020-01-30,BNTX,29.9
2020-01-31,BNTX,29.21
2020-02-03,BNTX,30.27
2020-02-04,BNTX,32.92
2020-02-05,BNTX,29.25
2020-02-06,BNTX,32.93
2020-02-07,BNTX,30.88
2020-02-10,BNTX,32.12
2020-02-11,BNTX,30.71
2020-02-12,BNTX,29.56
2020-02-13,BNTX,30.64
2020-02-14,BNTX,30.75
2020-02-18,BNTX,31.54
2020-02-19,BNTX,32.25
2020-02-20,BNTX,32.38
2020-02-21,BNTX,32.35
2020-02-24,BNTX,30.6
2020-02-25,BNTX,33.44
2020-02-26,BNTX,33.75
2020-02-27,BNTX,33.88
2020-02-28,BNTX,35.1
2020-03-02,BNTX,36.6
2020-03-03,BNTX,38.48
2020-03-04,BNTX,39.19
2020-03-05,BNTX,37.12
2020-03-06,BNTX,38.09
2020-03-09,BNTX,33.48
2020-03-10,BNTX,33.96
2020-03-11,BNTX,32.17
2020-03-12,BNTX,28.55
2020-03-13,BNTX,30.93
2020-03-16,BNTX,40.0
2020-03-17,BNTX,66.6
2020-03-18,BNTX,92.0
2020-03-19,BNTX,59.3
2020-03-20,BNTX,46.5
2020-03-23,BNTX,51.31
2020-03-24,BNTX,53.64
2020-03-25,BNTX,47.2
2020-03-26,BNTX,55.0
2020-03-27,BNTX,55.0
2020-03-30,BNTX,62.0
2020-03-31,BNTX,58.4
2020-04-01,BNTX,52.92
2020-04-02,BNTX,56.91
2020-04-03,BNTX,52.75
2020-04-06,BNTX,52.73
2020-04-07,BNTX,45.6
2020-04-08,BNTX,44.95
2020-04-09,BNTX,45.41
2020-04-13,BNTX,41.71
2020-04-14,BNTX,41.63
2020-04-15,BNTX,38.58
2020-04-16,BNTX,38.79
2020-04-17,BNTX,40.81
2020-04-20,BNTX,43.37
2020-04-21,BNTX,42.26
2020-04-22,BNTX,53.5
2020-04-23,BNTX,50.0
2020-04-24,BNTX,47.75
2020-04-27,BNTX,49.4
2020-04-28,BNTX,45.83
2020-04-29,BNTX,49.25
2020-04-30,BNTX,47.48
2020-05-01,BNTX,45.11
2020-05-04,BNTX,45.78
2020-05-05,BNTX,50.0
2020-05-06,BNTX,47.78
2020-05-07,BNTX,49.32
2020-05-08,BNTX,49.24
2020-05-11,BNTX,49.98
2020-05-12,BNTX,49.33
2020-05-13,BNTX,48.49
2020-05-14,BNTX,48.66
2020-05-15,BNTX,49.49
2020-05-18,BNTX,60.17
2020-05-19,BNTX,50.59
2020-05-20,BNTX,53.04
2020-05-21,BNTX,51.9
2020-05-22,BNTX,51.03
2020-05-26,BNTX,50.88
2020-05-27,BNTX,47.59
2020-05-28,BNTX,46.87
2020-05-29,BNTX,49.53
2020-06-01,BNTX,52.3
2020-06-02,BNTX,52.38
2020-06-03,BNTX,51.16
2020-06-04,BNTX,50.0
2020-06-05,BNTX,49.18
2020-06-08,BNTX,48.78
2020-06-09,BNTX,47.79
2020-06-10,BNTX,47.41
2020-06-11,BNTX,48.6
2020-06-12,BNTX,48.58
2020-06-15,BNTX,50.85
2020-06-16,BNTX,49.9
2020-06-17,BNTX,50.85
2020-06-18,BNTX,50.94
2020-06-19,BNTX,51.36
2020-06-22,BNTX,57.45
2020-06-23,BNTX,52.75
2020-06-24,BNTX,54.73
2020-06-25,BNTX,59.71
2020-06-26,BNTX,62.13
2020-06-29,BNTX,65.8
2020-06-30,BNTX,66.74
2020-07-01,BNTX,64.14
2020-07-02,BNTX,63.27
2020-07-06,BNTX,65.51
2020-07-07,BNTX,69.34
2020-07-08,BNTX,67.56
2020-07-09,BNTX,65.61
2020-07-10,BNTX,70.36
2020-07-13,BNTX,77.78
2020-07-14,BNTX,83.88
2020-07-15,BNTX,78.0
2020-07-16,BNTX,75.87
2020-07-17,BNTX,85.25
2020-07-20,BNTX,88.2
2020-07-21,BNTX,91.6
2020-07-22,BNTX,104.17
2020-07-23,BNTX,88.51
2020-07-24,BNTX,84.17
2020-07-27,BNTX,86.53
2020-07-28,BNTX,85.38
2020-07-29,BNTX,82.5
2020-07-30,BNTX,84.16
2020-07-31,BNTX,82.11
2020-08-03,BNTX,85.47
2020-08-04,BNTX,83.17
2020-08-05,BNTX,81.3
2020-08-06,BNTX,77.08
2020-08-07,BNTX,77.0
2020-08-10,BNTX,73.95
2020-08-11,BNTX,68.45
2020-08-12,BNTX,69.11
2020-08-13,BNTX,71.0
2020-08-14,BNTX,68.64
2020-08-17,BNTX,70.26
2020-08-18,BNTX,67.88
2020-08-19,BNTX,65.6
2020-08-20,BNTX,66.27
2020-08-21,BNTX,73.02
2020-08-24,BNTX,70.85
2020-08-25,BNTX,70.49
2020-08-26,BNTX,67.9
2020-08-27,BNTX,65.59
2020-08-28,BNTX,64.0
2020-08-31,BNTX,61.25
2020-09-01,BNTX,57.81
2020-09-02,BNTX,61.99
2020-09-03,BNTX,59.28
2020-09-04,BNTX,58.57
2020-09-08,BNTX,59.83
2020-09-09,BNTX,62.32
2020-09-10,BNTX,61.2
2020-09-11,BNTX,65.13
2020-09-14,BNTX,67.48
2020-09-15,BNTX,66.92
2020-09-16,BNTX,66.04
2020-09-17,BNTX,66.78
2020-09-18,BNTX,67.0
2020-09-21,BNTX,66.12
2020-09-22,BNTX,67.05
2020-09-23,BNTX,63.83
2020-09-24,BNTX,62.83
2020-09-25,BNTX,66.69
2020-09-28,BNTX,66.5
2020-09-29,BNTX,66.86
2020-09-30,BNTX,69.23
2020-10-01,BNTX,72.71
2020-10-02,BNTX,73.7
2020-10-05,BNTX,80.7
2020-10-06,BNTX,85.59
2020-10-07,BNTX,86.23
2020-10-08,BNTX,87.95
2020-10-09,BNTX,89.04
2020-10-12,BNTX,88.74
2020-10-13,BNTX,93.0
2020-10-14,BNTX,86.86
2020-10-15,BNTX,90.38
2020-10-16,BNTX,94.09
2020-10-19,BNTX,93.92
2020-10-20,BNTX,94.35
2020-10-21,BNTX,87.72
2020-10-22,BNTX,86.36
2020-10-23,BNTX,88.69
2020-10-26,BNTX,82.93
2020-10-27,BNTX,83.95
2020-10-28,BNTX,77.54
2020-10-29,BNTX,84.81
2020-10-30,BNTX,85.36
2020-11-02,BNTX,87.1
2020-11-03,BNTX,87.22
2020-11-04,BNTX,90.69
2020-11-05,BNTX,92.0
2020-11-06,BNTX,92.0
2020-11-09,BNTX,104.8
2020-11-10,BNTX,112.76
2020-11-11,BNTX,109.45
2020-11-12,BNTX,101.63
2020-11-13,BNTX,106.0
2020-11-16,BNTX,91.52
2020-11-17,BNTX,86.93
2020-11-18,BNTX,90.44
2020-11-19,BNTX,94.93
2020-11-20,BNTX,104.07
2020-11-23,BNTX,106.5
2020-11-24,BNTX,101.87
2020-11-25,BNTX,104.96
2020-11-27,BNTX,109.99
2020-11-30,BNTX,124.24
2020-12-01,BNTX,114.01
2020-12-02,BNTX,121.09
2020-12-03,BNTX,118.68
2020-12-04,BNTX,120.0
2020-12-07,BNTX,125.7
2020-12-08,BNTX,128.11
2020-12-09,BNTX,122.81
2020-12-10,BNTX,129.54
2020-12-11,BNTX,127.3
2020-12-14,BNTX,108.27
2020-12-15,BNTX,111.2
2020-12-16,BNTX,105.78
2020-12-17,BNTX,106.43
2020-12-18,BNTX,104.24
2020-12-21,BNTX,106.46
2020-12-22,BNTX,100.56
2020-12-23,BNTX,100.06
2020-12-24,BNTX,96.96
2020-12-28,BNTX,88.11
2020-12-29,BNTX,88.28
2020-12-30,BNTX,83.94
2020-12-31,BNTX,81.52
2021-01-04,BNTX,85.73
2021-01-05,BNTX,86.78
2021-01-06,BNTX,91.16
2021-01-07,BNTX,93.69
2021-01-08,BNTX,100.39
2021-01-11,BNTX,108.9
2021-01-12,BNTX,105.45
2021-01-13,BNTX,102.61
2021-01-14,BNTX,105.85
2021-01-15,BNTX,101.59
2021-01-19,BNTX,104.7
2021-01-20,BNTX,103.23
2021-01-21,BNTX,105.43
2021-01-22,BNTX,108.44
2021-01-25,BNTX,110.61
2021-01-26,BNTX,106.29
2021-01-27,BNTX,105.97
2021-01-28,BNTX,110.0
2021-01-29,BNTX,116.94
2021-02-01,BNTX,116.1
2021-02-02,BNTX,114.76
2021-02-03,BNTX,118.02
2021-02-04,BNTX,117.56
2021-02-05,BNTX,117.57
2021-02-08,BNTX,119.5
2021-02-09,BNTX,117.53
2021-02-10,BNTX,119.35
2021-02-11,BNTX,118.03
2021-02-12,BNTX,117.56
2021-02-16,BNTX,114.38
2021-02-17,BNTX,113.56
2021-02-18,BNTX,112.65
2021-02-19,BNTX,115.69
2021-02-22,BNTX,114.6
2021-02-23,BNTX,111.97
2021-02-24,BNTX,114.17
2021-02-25,BNTX,112.33
2021-02-26,BNTX,109.03
